Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-05-17,443.884,461.88,443.884,459.88,808595.52188518
2022-05-18,462.879,466.878,454.882,458.88,81909.325502246
2022-05-19,453.382,456.881,452.382,454.882,38437.007266936
2022-05-20,455.881,458.88,450.383,451.882,103873.04386609
2022-05-23,464.879,464.879,452.382,455.381,150490.18087068
2022-05-24,466.878,466.878,452.882,456.881,176054.83675661
2022-05-25,454.382,468.878,454.382,466.379,549181.98227369
2022-05-26,466.878,470.378,459.88,465.379,275781.80117019
2022-05-27,472.877,476.376,469.378,472.877,55467.441225528
2022-05-30,479.875,481.375,476.376,478.875,31541.211912152
2022-05-31,483.874,494.871,480.875,494.871,202268.66165692
2022-06-01,491.872,495.871,484.374,484.374,88703.094293904
2022-06-06,480.875,489.373,480.875,485.873,51941.523235158
2022-06-07,484.874,488.373,484.874,485.873,54406.164916938
2022-06-08,484.874,490.872,475.876,487.373,79797.775749716
2022-06-09,487.873,489.872,480.875,487.873,63252.468096181
2022-06-10,483.374,486.873,476.876,484.874,26095.794170429
2022-06-13,475.376,475.876,461.88,464.879,74402.371029132
2022-06-14,474.876,474.876,461.88,465.879,46170.020595602
2022-06-15,474.876,474.876,464.879,469.878,69483.090269802
2022-06-16,481.875,481.875,434.387,435.387,182544.52637973
2022-06-17,434.387,440.885,431.888,439.386,135234.20890214
2022-06-20,432.387,438.886,427.389,438.886,57014.8440996
2022-06-21,439.386,444.384,433.387,435.886,56354.672220552
2022-06-22,427.889,434.387,422.89,423.89,92174.998221443
2022-06-23,440.885,440.885,415.392,421.89,119086.00463645
2022-06-24,412.892,422.89,412.892,419.891,47065.253674008
2022-06-27,419.891,452.882,416.891,448.383,142839.18889669
2022-06-28,459.38,459.38,439.386,442.885,45994.975021612
2022-06-29,444.884,447.883,436.386,439.386,77685.225736762
2022-06-30,445.384,445.384,431.888,431.888,98418.62378056
2022-07-01,449.883,449.883,417.891,420.391,91409.798998001
2022-07-04,431.888,437.386,429.888,431.888,195010.77202909
2022-07-05,431.888,431.888,414.892,418.391,70940.469705822
2022-07-06,413.892,419.891,410.893,411.893,124144.32159455
2022-07-07,423.39,429.888,417.891,428.388,195995.02828512
2022-07-08,425.389,441.385,420.89,438.386,328121.42805362
2022-07-11,445.884,445.884,433.887,444.884,53268.868816214
2022-07-12,445.384,452.382,442.885,448.883,52123.570632108
2022-07-13,448.383,456.881,443.385,448.883,67529.581664074
2022-07-14,440.385,440.885,416.392,423.89,208955.40258334
2022-07-15,415.892,425.889,415.892,422.39,133810.83832049
2022-07-18,414.392,431.888,414.392,424.889,18725.875375239
2022-07-19,421.89,432.887,421.89,428.388,134480.01254335
2022-07-20,431.888,440.385,428.388,437.386,255748.58542235
2022-07-21,441.885,442.885,434.387,434.887,62608.300383898
2022-07-22,424.889,434.887,424.889,427.889,31246.135087426
2022-07-25,424.889,431.888,424.889,428.888,57901.074834201
2022-07-26,429.388,437.886,429.388,434.387,191817.94075951
2022-07-27,439.885,444.384,435.886,441.385,14284.719098007
2022-07-28,441.385,449.383,432.387,436.886,116520.33665197
2022-07-29,440.885,444.884,437.886,440.885,110062.65536238
2022-08-01,440.885,445.384,440.885,445.384,40875.642177722
2022-08-02,443.884,447.383,440.885,440.885,28315.372048622
2022-08-03,440.885,452.382,440.885,447.883,126052.81848126
2022-08-04,459.88,473.877,449.883,466.379,48630.66123569
2022-08-05,471.877,473.377,464.379,472.877,47650.406021346
2022-08-08,465.379,479.875,464.879,464.879,59253.426925826
2022-08-09,470.378,470.877,463.379,465.879,33719.779113011
2022-08-10,475.376,475.376,461.38,464.879,33217.648380765
2022-08-11,469.878,469.878,448.883,448.883,163660.60985769
2022-08-12,454.882,462.38,446.384,455.881,144045.50296658
2022-08-15,449.383,462.38,449.383,457.881,35621.274176754
2022-08-16,449.883,474.876,449.883,474.876,43336.28281781
2022-08-17,455.381,480.875,455.381,462.38,121607.66116233
2022-08-18,459.88,468.378,454.382,457.381,531186.29700709
2022-08-19,454.882,458.88,450.383,457.881,458482.36817588
2022-08-22,454.382,454.382,444.884,447.883,89874.399249003
2022-08-23,447.883,451.882,441.385,444.884,137396.77193623
2022-08-24,449.883,451.882,435.886,445.884,60021.626930537
2022-08-25,449.383,449.383,443.385,446.884,41469.796868865
2022-08-26,445.384,456.381,439.885,442.885,87287.725795642
2022-08-30,452.382,452.382,437.886,443.385,258743.36512821
2022-08-31,443.884,444.384,431.888,444.384,327642.3033111
2022-09-01,443.884,443.884,433.387,438.386,122992.02158749
2022-09-02,443.385,443.884,437.386,440.885,81817.301543349
